candidate_id,group_id,silver_label,domain,claim_text,evidence_text,realism_risk_flag,risk_types,realism_risk_score_0_to_5,realism_score_suggested_1_to_5,reason,recommended_action
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,supported,autonomous_driving,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",low,too_template_like,1,2,template_sim=0.64,keep
SBV2-ALL92-G002-MILD,SBV2-ALL92-G002,mild_scope_overclaim,autonomous_driving,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance as the main comparison basis.,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",medium,too_template_like|unnatural_wording,2,3,template_sim=0.61; unnatural=\bas the main comparison basis\b,review
SBV2-ALL92-G002-STRONG,SBV2-ALL92-G002,strong_action_overclaim,autonomous_driving,"nuPlan-R adds Success Rate and All-Core Pass Rate metrics to score planner robustness, balance, reliability, and collision behavior in one assessment.","More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",low,none,0,1,no_risk_flag,keep
SBV2-ALL92-G002-CONTRA,SBV2-ALL92-G002,contradiction_candidate,autonomous_driving,nuPlan-R adds Lane Distance and Map Coverage Rate metrics to assess planner routing geometry and map exploration balance over multiple dimensions.,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",low,none,0,1,no_risk_flag,keep
SBV2-ALL92-G003-SUPPORTED,SBV2-ALL92-G003,supported,autonomous_driving,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan evaluation framework.,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",low,too_template_like,1,2,template_sim=0.75,keep
SBV2-ALL92-G003-MILD,SBV2-ALL92-G003,mild_scope_overclaim,autonomous_driving,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",low,too_template_like,1,2,template_sim=0.71,keep
SBV2-ALL92-G003-STRONG,SBV2-ALL92-G003,strong_action_overclaim,autonomous_driving,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",low,too_template_like,1,2,template_sim=0.68,keep
SBV2-ALL92-G003-CONTRA,SBV2-ALL92-G003,contradiction_candidate,autonomous_driving,nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",low,none,0,1,no_risk_flag,keep
SBV2-ALL92-G004-SUPPORTED,SBV2-ALL92-G004,supported,autonomous_driving,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and Ubuntu 22.04 software.","Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",low,too_template_like,1,2,template_sim=0.70,keep
SBV2-ALL92-G004-MILD,SBV2-ALL92-G004,mild_scope_overclaim,autonomous_driving,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and a broader ROS stack.","Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",low,too_template_like,1,2,template_sim=0.67,keep
