candidate_id,target_candidate_group_id,span_id,source_id,domain,title,url,arxiv_id,pdf_filename,page_number,source_location,evidence_type,evidence_text,evidence_text_sha256,candidate_label_guess,issue_binary_label_guess,escalation_binary_label_guess,contradiction_binary_label_guess,claim_text,claim_text_sha256,claim_generation_status,claim_generation_policy,annotation_status,human_audited,final_label,gold_label,source_trace_complete,generation_notes
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,AD-001-S2,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,metric_result,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,supported,no_issue,non_escalation,not_contradiction,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.,8a3fa4b65730b9f65ba0a9dd25ce2be956a9983ee1d45019cbe5ec6b87de62e0,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G002-MILD,SBV2-ALL92-G002,AD-001-S2,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,metric_result,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,mild_scope_overclaim,issue,escalation,not_contradiction,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance as the main comparison basis.,3493ea0a3250a65980822cb2e6a578c84c63f2e5a82f6ffeef89df5ec450d09b,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G002-STRONG,SBV2-ALL92-G002,AD-001-S2,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,metric_result,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,strong_action_overclaim,issue,escalation,not_contradiction,"nuPlan-R adds Success Rate and All-Core Pass Rate metrics to score planner robustness, balance, reliability, and collision behavior in one assessment.",d8c074b4198c2c78dfb63b67b933bc3c7ec83616f13f8580a0b757506b6d2913,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G002-CONTRA,SBV2-ALL92-G002,AD-001-S2,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,metric_result,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,contradiction_candidate,issue,non_escalation,contradiction,nuPlan-R adds Lane Distance and Map Coverage Rate metrics to assess planner routing geometry and map exploration balance over multiple dimensions.,e5e75177d195a0351fe555924d04d51af47afecc712306bfa95981972732b89a,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G003-SUPPORTED,SBV2-ALL92-G003,AD-001-S3,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,limitation,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,supported,no_issue,non_escalation,not_contradiction,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan evaluation framework.,e27bff5a2678ec21ff419f1efdc826dd9b7784dd387f3ff29339a914d0bab5cf,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G003-MILD,SBV2-ALL92-G003,AD-001-S3,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,limitation,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,mild_scope_overclaim,issue,escalation,not_contradiction,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.,2e7e0f9850592dd3879e15ba3e47e80d128a9e3e5033c2bdf89981a3f15e678d,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G003-STRONG,SBV2-ALL92-G003,AD-001-S3,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,limitation,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,strong_action_overclaim,issue,escalation,not_contradiction,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.,faf98b9384912eb49b8c2f5876c4c9ed79eb08efb4325092c052bb0d6097be85,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G003-CONTRA,SBV2-ALL92-G003,AD-001-S3,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,limitation,"To address these limitations, we present nuPlan-R, a new reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan framework.",05a04b9bee82765e650aa1c1299b5adb17695b2febaae24b15324148593d85c6,contradiction_candidate,issue,non_escalation,contradiction,nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.,5efd546f40fba131cb6c62d5037fe0c43bd97cf4635c486cb5088c84815aa334,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G004-SUPPORTED,SBV2-ALL92-G004,AD-002-S1,AD-002,autonomous_driving,Open-Source Modular Benchmark for Diffusion-Based Motion Planning in Closed-Loop Autonomous Driving,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,5,pdf_page_5,experiment_setup,"Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,supported,no_issue,non_escalation,not_contradiction,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and Ubuntu 22.04 software.",e581bffc0d29f0fad452c91b5cd7264ac8154d33a68366575ebbc6bfd6dac738,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
SBV2-ALL92-G004-MILD,SBV2-ALL92-G004,AD-002-S1,AD-002,autonomous_driving,Open-Source Modular Benchmark for Diffusion-Based Motion Planning in Closed-Loop Autonomous Driving,https://arxiv.org/abs/2603.01023,2603.01023,pdfs/AD-002__2603.01023.pdf,5,pdf_page_5,experiment_setup,"Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware.",1371575d2ee6003cf2a2888697bbfa488c6d858169ce0f7eafb508a32dc06f4e,mild_scope_overclaim,issue,escalation,not_contradiction,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and a broader ROS stack.",0a83673c1ba3ad6b568f04fb4ef0c1b836995fe8305cc95702f61c1402617954,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.
