paper_claim,metric,value,source_file,use_status,caveat
"PDF retrieval is feasible (raw BM25 top1 produces non-trivial R4 signal)",strong_F1,0.1806,experiments/r4_evidence_canonicalization_v1/r4_metrics_by_format.csv,allowed_in_paper,"Must accompany with canonicalization restore claim; raw chunks alone are insufficient"
"Raw retrieved chunks degrade R4 screening",strong_F1 (raw top1),0.1806,experiments/r4_evidence_canonicalization_v1/r4_metrics_by_format.csv,allowed_in_paper,"Contrast against oracle span 0.4257 and canonicalized 0.4503"
"Raw retrieved chunks degrade R4 screening (oracle upper bound)",strong_F1 (oracle span),0.4257,experiments/r4_evidence_canonicalization_v1/r4_metrics_by_format.csv,allowed_in_paper,"Oracle span is the upper bound; canonicalized 0.4503 is only -0.0246 below"
"Evidence canonicalization restores strong_action screening",strong_F1 (best_sentence_top5_overlap),0.4503,experiments/r4_evidence_canonicalization_v1/r4_metrics_by_format.csv,allowed_in_paper,"This is the V3.17 baseline main metric; 436 eval candidates"
"Evidence canonicalization gain over raw BM25",canonicalization_gain,+0.2697,experiments/r4_evidence_canonicalization_v1/evidence_canonicalization_gate.json,allowed_in_paper,"Computed: 0.4503 - 0.1806"
"Evidence canonicalization near oracle (gap)",oracle_to_best_gap,-0.0246,experiments/r4_evidence_canonicalization_v1/evidence_canonicalization_gate.json,allowed_in_paper,"Canonicalized is near oracle; simple overlap selector is robust"
"Format shift confirmed (metadata ablation drop)",ablation_metadata_drop,0.0101,experiments/r4_evidence_canonicalization_v1/evidence_canonicalization_gate.json,allowed_in_paper,"Metadata alone is minor; lengthening is the dominant cause"
"Format shift confirmed (lengthening ablation drop)",ablation_lengthening_drop,0.3320,experiments/r4_evidence_canonicalization_v1/evidence_canonicalization_gate.json,allowed_in_paper,"Lengthening is the dominant format-shift cause"
"V3.17 baseline strong_F1 (selected main method)",strong_F1,0.4503,experiments/v3_18_intelligent_upgrade_v1/v3_17_frozen_baseline_metrics.json,allowed_in_paper,"Selected main method; 436 eval candidates"
"V3.17 baseline strong_recall",strong_recall,0.7064,experiments/v3_18_intelligent_upgrade_v1/v3_17_frozen_baseline_metrics.json,allowed_in_paper,"High recall is the second-stage screening value"
"V3.17 baseline strong_precision",strong_precision,0.3305,experiments/r4_evidence_canonicalization_v1/r4_metrics_by_format.csv,allowed_in_paper,"Low precision motivates second-stage positioning"
"V3.17 baseline macro_F1",macro_F1,0.3847,experiments/r4_evidence_canonicalization_v1/r4_metrics_by_format.csv,allowed_in_paper,"Lower than LLM; R4 is not overall-beats-LLM"
"V3.17 baseline precision@20 (review queue top-20)",precision_at_20,0.45,experiments/v3_18_intelligent_upgrade_v1/v3_17_frozen_baseline_metrics.json,allowed_in_paper,"From G_conservative_precision ranking variant"
"V3.17 baseline recall@100 (review queue coverage)",recall_at_100,0.3303,experiments/v3_18_intelligent_upgrade_v1/v3_17_frozen_baseline_metrics.json,allowed_in_paper,"Top-100 review queue coverage of true strong_action"
"V3.17 baseline FP/TP @ 5% prevalence",fp_tp_at_5pct,11.24,experiments/v3_18_intelligent_upgrade_v1/v3_17_frozen_baseline_metrics.json,allowed_in_paper,"Second-stage viable (threshold <= 20); standalone not viable (1% = 66.82)"
"V3.17 baseline standalone viable",standalone_viable,false,experiments/v3_18_intelligent_upgrade_v1/v3_17_frozen_baseline_metrics.json,allowed_in_paper,"R4 is second-stage only"
"V3.17 baseline second-stage viable",second_stage_viable,true,experiments/v3_18_intelligent_upgrade_v1/v3_17_frozen_baseline_metrics.json,allowed_in_paper,"R4 is second-stage only"
"R4 historical macro_F1 (silver 444, frozen R4 baseline)",flat4_macro_f1,0.4238,experiments/mixed_framework_v2_frozen_r4_baseline/frozen_r4_metrics_summary.json,allowed_as_historical_context,"Historical frozen R4 baseline; current mainline uses restored R4 per-seed thresholds via canonicalized_review_queue_v1"
"R4 historical strong_F1 (silver 444, frozen R4 baseline)",flat4_strong_f1,0.3967,experiments/mixed_framework_v2_frozen_r4_baseline/frozen_r4_metrics_summary.json,allowed_as_historical_context,"Historical; V3.17 baseline strong_F1=0.4503 supersedes this as current mainline"
"R4 historical strong_recall (silver 444, frozen R4 baseline)",strong_recall,0.4562,experiments/mixed_framework_v2_frozen_r4_baseline/frozen_r4_metrics_summary.json,allowed_as_historical_context,"Historical; V3.17 baseline strong_recall=0.7064 supersedes this"
"DeepSeek-V3 LLM macro_F1 (200 samples)",flat4_macro_f1,0.5270,experiments/llm_judge_baseline_v1/llm_metrics_200.json,allowed_in_paper,"LLM is higher overall; R4 is screening complement not overall replacement"
