sample_id,candidate_id,silver_label,gpt_standard_pred,gpt_structured_pred,deepseek_pred,r4_pred,errors
LLM_132,SBV2-ALL92-G186-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""contradiction_candidate"", ""r4"": ""contradiction_candidate""}"
LLM_144,SBV2-ALL92-G232-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,strong_action_overclaim,"{""gpt_standard"": ""mild_scope_overclaim"", ""gpt_structured"": ""mild_scope_overclaim"", ""deepseek"": ""supported""}"
LLM_148,SBV2-ALL92-G161-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,strong_action_overclaim,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""mild_scope_overclaim""}"
LLM_117,SBV2-ALL92-G083-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""contradiction_candidate"", ""r4"": ""mild_scope_overclaim""}"
LLM_143,SBV2-ALL92-G214-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""contradiction_candidate"", ""r4"": ""contradiction_candidate""}"
LLM_146,SBV2-ALL92-G271-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""contradiction_candidate"", ""r4"": ""mild_scope_overclaim""}"
LLM_140,SBV2-ALL92-G234-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,"{""gpt_standard"": ""mild_scope_overclaim"", ""gpt_structured"": ""mild_scope_overclaim"", ""deepseek"": ""mild_scope_overclaim"", ""r4"": ""mild_scope_overclaim""}"
LLM_102,SBV2-ALL92-G028-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,supported,"{""gpt_standard"": ""mild_scope_overclaim"", ""gpt_structured"": ""mild_scope_overclaim"", ""deepseek"": ""supported"", ""r4"": ""supported""}"
LLM_136,SBV2-ALL92-G193-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,mild_scope_overclaim,"{""gpt_standard"": ""mild_scope_overclaim"", ""gpt_structured"": ""mild_scope_overclaim"", ""deepseek"": ""supported"", ""r4"": ""mild_scope_overclaim""}"
LLM_139,SBV2-ALL92-G252-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,contradiction_candidate,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""mild_scope_overclaim"", ""r4"": ""contradiction_candidate""}"
LLM_129,SBV2-ALL92-G131-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,contradiction_candidate,contradiction_candidate,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""contradiction_candidate"", ""r4"": ""contradiction_candidate""}"
LLM_101,SBV2-ALL92-G052-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,mild_scope_overclaim,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""mild_scope_overclaim"", ""r4"": ""mild_scope_overclaim""}"
LLM_141,SBV2-ALL92-G255-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,mild_scope_overclaim,"{""gpt_standard"": ""mild_scope_overclaim"", ""gpt_structured"": ""mild_scope_overclaim"", ""deepseek"": ""mild_scope_overclaim"", ""r4"": ""mild_scope_overclaim""}"
LLM_142,SBV2-ALL92-G272-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,mild_scope_overclaim,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""mild_scope_overclaim"", ""r4"": ""mild_scope_overclaim""}"
LLM_135,SBV2-ALL92-G205-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,strong_action_overclaim,"{""gpt_standard"": ""mild_scope_overclaim"", ""gpt_structured"": ""mild_scope_overclaim"", ""deepseek"": ""supported""}"
LLM_131,SBV2-ALL92-G140-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,strong_action_overclaim,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""mild_scope_overclaim""}"
LLM_130,SBV2-ALL92-G116-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,contradiction_candidate,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""mild_scope_overclaim"", ""r4"": ""contradiction_candidate""}"
LLM_133,SBV2-ALL92-G178-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,mild_scope_overclaim,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""mild_scope_overclaim"", ""r4"": ""mild_scope_overclaim""}"
LLM_137,SBV2-ALL92-G175-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,mild_scope_overclaim,strong_action_overclaim,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""mild_scope_overclaim""}"
LLM_128,SBV2-ALL92-G111-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,strong_action_overclaim,"{""gpt_standard"": ""mild_scope_overclaim"", ""gpt_structured"": ""mild_scope_overclaim"", ""deepseek"": ""supported""}"
LLM_149,SBV2-ALL92-G172-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,strong_action_overclaim,"{""gpt_standard"": ""mild_scope_overclaim"", ""gpt_structured"": ""mild_scope_overclaim"", ""deepseek"": ""supported""}"
LLM_134,SBV2-ALL92-G190-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,supported,contradiction_candidate,"{""gpt_standard"": ""contradiction_candidate"", ""gpt_structured"": ""contradiction_candidate"", ""deepseek"": ""supported"", ""r4"": ""contradiction_candidate""}"
LLM_145,SBV2-ALL92-G261-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,supported,"{""gpt_standard"": ""mild_scope_overclaim"", ""gpt_structured"": ""mild_scope_overclaim"", ""deepseek"": ""supported"", ""r4"": ""supported""}"
LLM_138,SBV2-ALL92-G266-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,supported,strong_action_overclaim,"{""gpt_standard"": ""mild_scope_overclaim"", ""gpt_structured"": ""mild_scope_overclaim"", ""deepseek"": ""supported""}"
