candidate_id,target_candidate_group_id,span_id,source_id,domain,title,url,arxiv_id,pdf_filename,page_number,source_location,evidence_type,evidence_text,evidence_text_sha256,candidate_label_guess,issue_binary_label_guess,escalation_binary_label_guess,contradiction_binary_label_guess,claim_text,claim_text_sha256,claim_generation_status,claim_generation_policy,annotation_status,human_audited,final_label,gold_label,source_trace_complete,generation_notes,leakage_category,claim_only_correct,claim_evidence_correct,group_quality_tier
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,AD-001-S2,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,metric_result,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,supported,no_issue,non_escalation,not_contradiction,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.,8a3fa4b65730b9f65ba0a9dd25ce2be956a9983ee1d45019cbe5ec6b87de62e0,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,C_both_wrong,False,False,tier3_no_B_no_A
SBV2-ALL92-G002-MILD,SBV2-ALL92-G002,AD-001-S2,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,metric_result,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,mild_scope_overclaim,issue,escalation,not_contradiction,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance as the main comparison basis.,3493ea0a3250a65980822cb2e6a578c84c63f2e5a82f6ffeef89df5ec450d09b,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,C_both_wrong,False,False,tier3_no_B_no_A
SBV2-ALL92-G002-STRONG,SBV2-ALL92-G002,AD-001-S2,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,metric_result,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,strong_action_overclaim,issue,escalation,not_contradiction,"nuPlan-R adds Success Rate and All-Core Pass Rate metrics to score planner robustness, balance, reliability, and collision behavior in one assessment.",d8c074b4198c2c78dfb63b67b933bc3c7ec83616f13f8580a0b757506b6d2913,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,C_both_wrong,False,False,tier3_no_B_no_A
SBV2-ALL92-G002-CONTRA,SBV2-ALL92-G002,AD-001-S2,AD-001,autonomous_driving,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,https://arxiv.org/abs/2511.10403,2511.10403,pdfs/AD-001__2511.10403.pdf,1,pdf_page_1,metric_result,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner’s robustness and overall performance balance across multiple dimensions.",6a0ba79dba70e2735bc0881338175526cd2f23b10d46ae19b0dcd498cfe57a62,contradiction_candidate,issue,non_escalation,contradiction,nuPlan-R adds Lane Distance and Map Coverage Rate metrics to assess planner routing geometry and map exploration balance over multiple dimensions.,e5e75177d195a0351fe555924d04d51af47afecc712306bfa95981972732b89a,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,C_both_wrong,False,False,tier3_no_B_no_A
SBV2-ALL92-G007-SUPPORTED,SBV2-ALL92-G007,AD-003-S1,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,8,pdf_page_8,metric_result,"The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,supported,no_issue,non_escalation,not_contradiction,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as the best result.",3bd99df63fc9cb7e5988ebef24de42cdb7fd657283dbaab49e8ddee5be0f1450,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,A_claim_only_correct,True,True,tier4_no_B_has_A
SBV2-ALL92-G007-MILD,SBV2-ALL92-G007,AD-003-S1,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,8,pdf_page_8,metric_result,"The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,mild_scope_overclaim,issue,escalation,not_contradiction,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as a representative top result.",d00a108f30fd2b1cafa5b3154c119919e7bdbd585fd8a4d91d59412737743d12,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,C_both_wrong,False,False,tier4_no_B_has_A
SBV2-ALL92-G007-STRONG,SBV2-ALL92-G007,AD-003-S1,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,8,pdf_page_8,metric_result,"The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,strong_action_overclaim,issue,escalation,not_contradiction,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS and showing mature closed-loop performance.",dbf0b99773f8295d4ba41743af17e173958091d2ae7e3cd5efbb3a7dd89cbd28,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,C_both_wrong,False,False,tier4_no_B_has_A
SBV2-ALL92-G007-CONTRA,SBV2-ALL92-G007,AD-003-S1,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,8,pdf_page_8,metric_result,"The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the best, Dif- fusionDrive, achieves only 34.2 Overall DS.",4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,contradiction_candidate,issue,non_escalation,contradiction,"HiDrive reports that conventional end-to-end methods perform strongly, with DiffusionDrive reaching 84.2 Overall DS as the best result.",4cb245f4603e5427b213b89f721dea6983993ae1020cbea7f5df94483edeb8f0,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,C_both_wrong,False,False,tier4_no_B_has_A
SBV2-ALL92-G008-SUPPORTED,SBV2-ALL92-G008,AD-003-S2,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,limitation,"This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,supported,no_issue,non_escalation,not_contradiction,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, and capability breadth rather than solved autonomy evaluation.",bf768d33a8f1a20532d5e45301fa5ad397a0812b3fc1e838c0988254e942fc26,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,C_both_wrong,False,False,tier1_B_no_A
SBV2-ALL92-G008-MILD,SBV2-ALL92-G008,AD-003-S2,AD-003,autonomous_driving,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,https://arxiv.org/abs/2605.09972,2605.09972,pdfs/AD-003__2605.09972.pdf,1,pdf_page_1,limitation,"This satura- tion does not mean that the problem has been solved; instead, it reveals that current benchmarks remain limited in scenario diversity, object variety, and the breadth of driving capabilities they evaluate.",c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,mild_scope_overclaim,issue,escalation,not_contradiction,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, and capability breadth for common closed-loop evaluations.",31508a7ffa9a0d0dc7032e7d652eafa5dd77e10625f85083f651249582dfd627,success,same_frame_four_variant_generation,ai_preannotated,False,,,True,AI-preannotated candidate claim; not gold and not final.,C_both_wrong,False,False,tier1_B_no_A
