file_path,contains_t_contra,contains_t_strong,contains_t_svm,contains_t_contra_low,values_found
D:\ocn_backup_20260704_1606\cese\eval\thresholding.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\cese\models\shared_threshold_calibrator.py,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\adversarial_splits\adversarial_splits_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\adversarial_splits_simclaim_human_pilot\adversarial_splits_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\evidence_modes\simclaim_human_pilot_evidence_modes_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\paper_full_audit\paper_full_readiness_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round1_seed\manifests\round1_seed_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round1_seed\raw\manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01\gpt_review\manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01\manifests\round2_batch01_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01_annotation_ready_v1\manifests\round2_batch01_annotation_ready_v1_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01_repair\manifests\round2_batch01_repair_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01_repair_recut\gpt_review\manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\simclaim_eval_v1\round2_candidates\batch01_repair_recut\manifests\round2_batch01_recut_manifest.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\simclaim_v4_protocol_freeze\v4_data_protocol_frozen.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\simclaim_v4_protocol_freeze\v4_nonpaper_failed_prototype_manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\simclaim_v4_protocol_freeze\chatgpt_batches\batch_manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\simclaim_v4_protocol_freeze\chatgpt_batches_clean\batch_manifest_clean.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\data\source_bank_v2\audit\download_manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\docs\simclaim_v4_protocol_freeze\v4_data_protocol_frozen.md,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\cese_ocn_mixed_framework_v1\mixed_framework_readiness_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\cese_ocn_structured_v1\structured_algorithm_readiness_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\cese_ocn_structured_v1\structured_split_manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\escalation_focused_pilot_v1\escalation_pilot_readiness_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\escalation_focused_pilot_v1_revised\escalation_pilot_readiness_gate_revised.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\evidence_aware_frozen_encoder_v1\frozen_encoder_by_seed.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\evidence_aware_frozen_encoder_v1\frozen_encoder_decision_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\evidence_aware_frozen_encoder_v1\frozen_encoder_delta_by_seed.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\evidence_aware_frozen_encoder_v1\frozen_encoder_report.md,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\evidence_aware_frozen_encoder_v1\frozen_encoder_summary.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\evidence_conditioned_update_v1\evidence_update_readiness_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\external_gold_scifact_vitaminc_v1\external_gold_readiness_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\llm_baseline_v1_150\inputs\request_manifest.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\mixed_framework_new_algorithm_sweep_v1\new_algorithm_readiness_gate.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\mixed_framework_router_optimization_v2\mixed_framework_router_readiness_gate.json,True,True,True,False,"{""t_contra"": 0.48, ""t_strong"": 0.535, ""t_svm"": 0.51}"
D:\ocn_backup_20260704_1606\experiments\mixed_framework_router_optimization_v2\router_threshold_search_by_seed.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\mixed_framework_router_optimization_v2\router_threshold_summary.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_ablation_summary.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_manifest.json,True,True,True,False,"{""t_contra"": 0.48, ""t_strong"": 0.535, ""t_svm"": 0.51}"
D:\ocn_backup_20260704_1606\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_method_selection.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_metrics_summary.json,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_readiness_gate.json,True,True,True,False,"{""t_contra"": 0.48, ""t_strong"": 0.535, ""t_svm"": 0.51}"
D:\ocn_backup_20260704_1606\experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_routing_results_by_seed.csv,False,False,False,False,{}
D:\ocn_backup_20260704_1606\experiments\simclaim_v4_evidence_necessity\v4_readiness_gate.json,False,False,False,False,{}
