sample_id,candidate_id,domain,silver_label,r4_label,claim_length,action_cues_found,safety_cues,deployment_cues,policy_cues,generalization_cues,root_cause_categories,claim_text
LLM_093,SBV2-ALL92-G254-C02,policy_simulation,mild_scope_overclaim,strong_action_overclaim,143,,,,,,mild_strong_boundary_confusion|no_clear_action_cue_but_r4_strong,"The paper says future work focuses on validation frameworks for accuracy, reliability, transferability, and urban planning application studies."
LLM_089,SBV2-ALL92-G256-C02,policy_simulation,mild_scope_overclaim,strong_action_overclaim,155,,,,,,mild_strong_boundary_confusion|no_clear_action_cue_but_r4_strong,"The paper says the benchmark indicates large speedup potential relative to online LLM inference, with throughput depending on hardware and routing details."
LLM_001,SBV2-ALL92-G043-C01,autonomous_driving,supported,strong_action_overclaim,163,,,,,,supported_overclained_by_r4|no_clear_action_cue_but_r4_strong,HABIT evaluates three recent end-to-end autonomy agents on semantically grounded pedestrian behaviors in the prediction and planning study reported by the authors.
LLM_067,SBV2-ALL92-G092-C02,cyber_defense,mild_scope_overclaim,strong_action_overclaim,189,,,,,,mild_strong_boundary_confusion|no_clear_action_cue_but_r4_strong,"The comparisons show the hierarchical learning approach achieving top performance in convergence speed, episodic return, cybersecurity metrics, and resource costs with multiple adversaries."
LLM_081,SBV2-ALL92-G135-C02,digital_twin,mild_scope_overclaim,strong_action_overclaim,144,,,,,,mild_strong_boundary_confusion|no_clear_action_cue_but_r4_strong,The microgrid RL literature limitation concerns simplified BESS modeling that focuses mainly on electrical behavior in several prior approaches.
LLM_178,SBV2-ALL92-G135-C04,digital_twin,contradiction_candidate,strong_action_overclaim,131,,,,,,contradiction_absorbed_by_strong_route|no_clear_action_cue_but_r4_strong,"The microgrid RL literature reports detailed BESS modeling of thermal, aging, and electrical behavior in surveyed prior approaches."
LLM_036,SBV2-ALL92-G190-C01,marl,supported,strong_action_overclaim,163,,,,,,supported_overclained_by_r4|no_clear_action_cue_but_r4_strong,Tool-RoCo evaluates four cooperation paradigms under a common experiment design to compare LLM autonomy and collaborative behavior systematically in the benchmark.
LLM_079,SBV2-ALL92-G108-C02,digital_twin,mild_scope_overclaim,strong_action_overclaim,163,,,,,,mild_strong_boundary_confusion|no_clear_action_cue_but_r4_strong,The paper describes its method as theoretically justified and not reliant on restrictive assumptions such as linear transitions or fixed noise terms in its design.
LLM_088,SBV2-ALL92-G257-C02,policy_simulation,mild_scope_overclaim,strong_action_overclaim,143,,,,,,mild_strong_boundary_confusion|no_clear_action_cue_but_r4_strong,"The paper says MobileCity gains efficiency at scale partly by disabling LLM modules and planner modules, trading behavioral fidelity for speed."
LLM_002,SBV2-ALL92-G027-C01,autonomous_driving,supported,strong_action_overclaim,148,,,,,,supported_overclained_by_r4|no_clear_action_cue_but_r4_strong,"ScenePilot-Bench remains open-loop, with downstream control effects in a closed-loop vehicle system absent from direct measurement by the benchmark."
