target_candidate_group_id,n_claims,labels_complete,n_B_evidence_gain,n_C_both_wrong,n_A_claim_only_correct,n_D_claim_only_better,has_cue_risk,domain,evidence_type,source_id,span_id,selection_tier,selection_reason
SBV2-ALL92-G003,4,True,0,1,3,0,False,autonomous_driving,limitation,AD-001,AD-001-S3,review,strict_eligible_not_selected
SBV2-ALL92-G021,4,True,0,2,2,0,False,autonomous_driving,limitation,AD-007,AD-007-S3,review,strict_eligible_not_selected
SBV2-ALL92-G030,4,True,0,1,3,0,False,autonomous_driving,limitation,AD-010,AD-010-S3,review,strict_eligible_not_selected
SBV2-ALL92-G032,4,True,0,2,2,0,False,autonomous_driving,metric_result,AD-011,AD-011-S2,review,strict_eligible_not_selected
SBV2-ALL92-G033,4,True,0,2,2,0,False,autonomous_driving,limitation,AD-011,AD-011-S3,review,strict_eligible_not_selected
SBV2-ALL92-G034,4,True,0,2,2,0,False,autonomous_driving,experiment_setup,AD-012,AD-012-S1,review,strict_eligible_not_selected
SBV2-ALL92-G036,4,True,0,1,3,0,False,autonomous_driving,limitation,AD-012,AD-012-S3,review,strict_eligible_not_selected
SBV2-ALL92-G037,4,True,0,1,3,0,False,autonomous_driving,experiment_setup,AD-014,AD-014-S1,review,strict_eligible_not_selected
SBV2-ALL92-G087,4,True,0,2,2,0,False,cyber_defense,limitation,CYB-007,CYB-007-S3,review,strict_eligible_not_selected
SBV2-ALL92-G091,4,True,0,3,1,0,False,cyber_defense,experiment_setup,CYB-009,CYB-009-S1,review,strict_eligible_not_selected
SBV2-ALL92-G092,4,True,0,3,1,0,False,cyber_defense,metric_result,CYB-009,CYB-009-S2,review,strict_eligible_not_selected
SBV2-ALL92-G093,4,True,0,2,2,0,False,cyber_defense,limitation,CYB-009,CYB-009-S3,review,strict_eligible_not_selected
SBV2-ALL92-G094,4,True,0,3,1,0,False,cyber_defense,experiment_setup,CYB-010,CYB-010-S1,review,strict_eligible_not_selected
SBV2-ALL92-G096,4,True,0,2,2,0,True,cyber_defense,limitation,CYB-010,CYB-010-S3,review,cue_risk_flagged
SBV2-ALL92-G098,4,True,0,3,1,0,False,cyber_defense,metric_result,CYB-011,CYB-011-S2,review,strict_eligible_not_selected
SBV2-ALL92-G099,4,True,0,3,1,0,False,cyber_defense,limitation,CYB-011,CYB-011-S3,review,strict_eligible_not_selected
SBV2-ALL92-G106,4,True,0,3,1,0,False,digital_twin,experiment_setup,DT-002,DT-002-S1,review,strict_eligible_not_selected
SBV2-ALL92-G108,4,True,0,3,1,0,False,digital_twin,limitation,DT-002,DT-002-S3,review,strict_eligible_not_selected
SBV2-ALL92-G110,4,True,0,3,1,0,False,digital_twin,metric_result,DT-003,DT-003-S2,review,strict_eligible_not_selected
SBV2-ALL92-G111,4,True,0,2,2,0,False,digital_twin,limitation,DT-003,DT-003-S3,review,strict_eligible_not_selected
SBV2-ALL92-G116,4,True,0,3,1,0,False,digital_twin,metric_result,DT-005,DT-005-S2,review,strict_eligible_not_selected
SBV2-ALL92-G119,4,True,0,3,1,0,False,digital_twin,metric_result,DT-006,DT-006-S2,review,strict_eligible_not_selected
SBV2-ALL92-G124,4,True,0,3,1,0,False,digital_twin,metric_result,DT-009,DT-009-S1,review,strict_eligible_not_selected
SBV2-ALL92-G128,4,True,0,2,2,0,False,digital_twin,metric_result,DT-010,DT-010-S2,review,strict_eligible_not_selected
SBV2-ALL92-G141,4,True,0,3,1,0,False,digital_twin,limitation,DT-014,DT-014-S3,review,strict_eligible_not_selected
SBV2-ALL92-G144,4,True,0,3,1,0,False,digital_twin,limitation,DT-015,DT-015-S3,review,strict_eligible_not_selected
SBV2-ALL92-G145,4,True,0,3,1,0,False,digital_twin,experiment_setup,DT-016,DT-016-S1,review,strict_eligible_not_selected
SBV2-ALL92-G146,4,True,0,2,2,0,False,digital_twin,metric_result,DT-016,DT-016-S2,review,strict_eligible_not_selected
SBV2-ALL92-G153,4,True,1,1,2,0,True,digital_twin,limitation,DT-018,DT-018-S3,review,cue_risk_flagged
SBV2-ALL92-G158,4,True,0,3,1,0,False,robotics,metric_result,MARL-014,MARL-014-S2,review,strict_eligible_not_selected
SBV2-ALL92-G163,4,True,0,3,1,0,False,robotics,experiment_setup,MARL-016,MARL-016-S1,review,strict_eligible_not_selected
SBV2-ALL92-G164,4,True,0,2,2,0,False,robotics,metric_result,MARL-016,MARL-016-S2,review,strict_eligible_not_selected
SBV2-ALL92-G166,4,True,0,2,2,0,False,robotics,limitation,MARL-017,MARL-017-S1,review,strict_eligible_not_selected
SBV2-ALL92-G167,4,True,0,2,2,0,False,robotics,deployment_boundary,MARL-017,MARL-017-S2,review,strict_eligible_not_selected
SBV2-ALL92-G168,4,True,0,3,1,0,False,robotics,comparison,MARL-017,MARL-017-S3,review,strict_eligible_not_selected
SBV2-ALL92-G170,4,True,0,3,1,0,False,robotics,metric_result,MARL-018,MARL-018-S2,review,strict_eligible_not_selected
SBV2-ALL92-G175,4,True,0,3,1,0,False,marl,experiment_setup,MARL-001,MARL-001-S1,review,strict_eligible_not_selected
SBV2-ALL92-G178,4,True,0,3,1,0,False,marl,experiment_setup,MARL-002,MARL-002-S1,review,strict_eligible_not_selected
SBV2-ALL92-G180,4,True,0,3,1,0,False,marl,limitation,MARL-002,MARL-002-S3,review,strict_eligible_not_selected
SBV2-ALL92-G185,4,True,0,2,2,0,False,marl,limitation,MARL-004,MARL-004-S2,review,strict_eligible_not_selected
SBV2-ALL92-G186,4,True,0,3,1,0,False,marl,deployment_boundary,MARL-004,MARL-004-S3,review,strict_eligible_not_selected
SBV2-ALL92-G187,4,True,0,3,1,0,False,marl,experiment_setup,MARL-005,MARL-005-S1,review,strict_eligible_not_selected
SBV2-ALL92-G190,4,True,0,2,2,0,False,marl,experiment_setup,MARL-006,MARL-006-S1,review,strict_eligible_not_selected
SBV2-ALL92-G194,4,True,0,3,1,0,True,marl,limitation,MARL-007,MARL-007-S2,review,cue_risk_flagged
SBV2-ALL92-G196,4,True,0,2,2,0,False,marl,experiment_setup,MARL-008,MARL-008-S1,review,strict_eligible_not_selected
SBV2-ALL92-G197,4,True,0,3,1,0,False,marl,metric_result,MARL-008,MARL-008-S2,review,strict_eligible_not_selected
SBV2-ALL92-G198,4,True,0,3,1,0,False,marl,limitation,MARL-008,MARL-008-S3,review,strict_eligible_not_selected
SBV2-ALL92-G205,4,True,0,2,2,0,False,marl,experiment_setup,MARL-011,MARL-011-S1,review,strict_eligible_not_selected
SBV2-ALL92-G213,4,True,0,3,1,0,False,marl,limitation,MARL-013,MARL-013-S3,review,strict_eligible_not_selected
SBV2-ALL92-G224,4,True,0,3,1,0,False,policy_simulation,metric_result,POL-004,POL-004-S2,review,strict_eligible_not_selected
SBV2-ALL92-G226,4,True,0,3,1,0,False,policy_simulation,metric_result,POL-005,POL-005-S1,review,strict_eligible_not_selected
SBV2-ALL92-G233,4,True,0,3,1,0,False,policy_simulation,metric_result,POL-007,POL-007-S2,review,strict_eligible_not_selected
SBV2-ALL92-G234,4,True,0,3,1,0,False,policy_simulation,limitation,POL-007,POL-007-S3,review,strict_eligible_not_selected
SBV2-ALL92-G251,4,True,0,2,2,0,False,policy_simulation,metric_result,POL-013,POL-013-S2,review,strict_eligible_not_selected
SBV2-ALL92-G252,4,True,0,3,1,0,False,policy_simulation,limitation,POL-013,POL-013-S3,review,strict_eligible_not_selected
SBV2-ALL92-G253,4,True,0,3,1,0,False,policy_simulation,metric_result,POL-014,POL-014-S1,review,strict_eligible_not_selected
SBV2-ALL92-G254,4,True,0,3,1,0,False,policy_simulation,limitation,POL-014,POL-014-S2,review,strict_eligible_not_selected
SBV2-ALL92-G256,4,True,0,3,1,0,False,policy_simulation,experiment_setup,POL-015,POL-015-S1,review,strict_eligible_not_selected
SBV2-ALL92-G257,4,True,0,2,2,0,False,policy_simulation,metric_result,POL-015,POL-015-S2,review,strict_eligible_not_selected
SBV2-ALL92-G259,4,True,0,3,1,0,False,policy_simulation,metric_result,POL-016,POL-016-S1,review,strict_eligible_not_selected
SBV2-ALL92-G261,4,True,0,3,1,0,False,policy_simulation,deployment_boundary,POL-016,POL-016-S3,review,strict_eligible_not_selected
SBV2-ALL92-G264,4,True,0,3,1,0,False,policy_simulation,limitation,POL-017,POL-017-S3,review,strict_eligible_not_selected
SBV2-ALL92-G266,4,True,0,3,1,0,False,policy_simulation,metric_result,POL-018,POL-018-S2,review,strict_eligible_not_selected
SBV2-ALL92-G271,4,True,0,3,1,0,False,policy_simulation,metric_result,POL-020,POL-020-S1,review,strict_eligible_not_selected
