review_rank,candidate_id,claim_text,selected_evidence,pred_label,true_label,priority_score,strong_action_flag,source_pdf,page,reason
1,SBV2-ALL92-G252-C01,"The paper states that the evaluation covered 100 agents and U.S. tax brackets, leaving larger populations and richer actions for later work.","our evaluation is limited to 100 agents and U.S. tax brackets; scaling to millions of agents, multi-country settings, or richer actions, such as trade, remains future work.",strong_action_overclaim,supported,1.1797978483015075,1,POL-013,12,"R4 flagged strong_action (p_strong=0.732, p_contra=0.052)"
2,SBV2-ALL92-G252-C02,"The paper states that the evaluation covered 100 agents, U.S. tax brackets, several population sizes, and richer actions for later work.","our evaluation is limited to 100 agents and U.S. tax brackets; scaling to millions of agents, multi-country settings, or richer actions, such as trade, remains future work.",strong_action_overclaim,mild_scope_overclaim,1.150920666464946,1,POL-013,12,"R4 flagged strong_action (p_strong=0.687, p_contra=0.036)"
3,SBV2-ALL92-G065-C03,"The field studies highlight design tradeoffs involving power and network infrastructure, local storage capacity, sensor visibility, and network-wide safety forecasting.",By continuously evaluating the safety implications of predi,strong_action_overclaim,strong_action_overclaim,1.143405597706133,1,AD-024,4,"R4 flagged strong_action (p_strong=0.900, p_contra=0.257)"
4,SBV2-ALL92-G042-C02,DriveE2E introduces a closed-loop evaluation framework that integrates recorded traffic cases into CARLA through infrastructure cooperation and detailed sensor replication.,Pre-Print Construct Twin Intersections Deploy Sensors for Observation Twin Driving Scenarios DriveE2E Expert Dataset Expert Route Agent Policy Closed-Loop Evaluation for E2EAD Generate Data & Enable Closed-Loop Sim Integrate into CARLA Capture Traffic Scenarios Figure 2: Overview of DriveE2E.,strong_action_overclaim,mild_scope_overclaim,1.129457997818736,1,AD-015,4,"R4 flagged strong_action (p_strong=0.672, p_contra=0.043)"
5,SBV2-ALL92-G124-C03,The gFHR design process determined final reactor state choices from surrogate prediction accuracy and sensor monitoring constraints during later state selection.,The design choice process considered the accuracy of the gFHR surrogate predictions and selecting states that could be realistically monitored with sensors in the reactor setting.,strong_action_overclaim,strong_action_overclaim,1.1277935606331777,1,DT-009,10,"R4 flagged strong_action (p_strong=0.774, p_contra=0.146)"
6,SBV2-ALL92-G065-C02,"The field studies highlight design tradeoffs involving power and network infrastructure, local storage capacity, sensor visibility, and weather sensing for validation.","terrain characteristic impacting sensor placement decisions, weather variability, stability and vibrations of the mounting pole, the height of the sensors for optimal line of sight, calibration and hardware integration issues, and system-level integration challenges that are necessary for transitioning from prototype to practice.",strong_action_overclaim,mild_scope_overclaim,1.1233050116420622,1,AD-024,4,"R4 flagged strong_action (p_strong=0.686, p_contra=0.063)"
7,SBV2-ALL92-G163-C03,The study evaluates context-aware agents in a canonical control benchmark and multiple physical manipulation platforms with Franka and mobile robots.,We evaluate the resulting context-aware policies in both a canonical control benchmark and a real-world pushing task using a Franka Emika Panda robot.,strong_action_overclaim,strong_action_overclaim,1.1216063546620845,1,MARL-016,1,"R4 flagged strong_action (p_strong=0.700, p_contra=0.079)"
8,SBV2-ALL92-G185-C03,"The industrial-control paper says reinforcement learning adoption is mature because reward design, modularity, and action-space management are solved in industrial processes.","The reward functions, while interpretable, are simplified and rely on strong assumptions about task objectives.",strong_action_overclaim,strong_action_overclaim,1.1152853881565663,1,MARL-004,1,"R4 flagged strong_action (p_strong=0.890, p_contra=0.274)"
9,SBV2-ALL92-G146-C03,"APDT reported 85.03% simulation accuracy along with predictive-model outputs, indicating conclusive performance for network optimization and management workflows.","(section IV A) and validate these predictions through simulation, with a focus on latency metrics (section IV B).",strong_action_overclaim,strong_action_overclaim,1.114918097372421,1,DT-016,2,"R4 flagged strong_action (p_strong=0.875, p_contra=0.260)"
10,SBV2-ALL92-G232-C02,"SimCity implements the shock by changing production skill requirements near the start of the run, marked as 0 to Event in Figure 7.",We implement this shock by altering the skill requiremen,strong_action_overclaim,mild_scope_overclaim,1.0919563184463652,1,POL-007,9,"R4 flagged strong_action (p_strong=0.851, p_contra=0.259)"
11,SBV2-ALL92-G146-C02,"APDT reported 85.03% simulation accuracy along with predictive-model outputs, indicating potential for broader network optimization and management workflows.","(section IV A) and validate these predictions through simulation, with a focus on latency metrics (section IV B).",strong_action_overclaim,mild_scope_overclaim,1.0884799347192184,1,DT-016,2,"R4 flagged strong_action (p_strong=0.844, p_contra=0.255)"
12,SBV2-ALL92-G037-C03,The NAVSIM experiments evaluate on the navmini split because closed-loop simulation has heavy computational requirements and navmini contains the main benchmark suite.,Studying the relation of closed-loop and open-loop metrics necessitates access to a fully reactive simulator.,strong_action_overclaim,strong_action_overclaim,1.086560914073059,1,AD-014,6,"R4 flagged strong_action (p_strong=0.850, p_contra=0.263)"
13,SBV2-ALL92-G232-C01,"SimCity implements the shock by changing production skill requirements midway through the run, marked as 0 to Event in Figure 7.",We implement this shock by altering the skill requiremen,strong_action_overclaim,supported,1.0820676345970277,1,POL-007,9,"R4 flagged strong_action (p_strong=0.842, p_contra=0.260)"
14,SBV2-ALL92-G030-C01,The paper states that safety under open-world conditions remains a significant barrier to large-scale adoption of autonomous systems despite recent progress.,"Despite this progress, the application of XRL to cyber defense remains limited.",strong_action_overclaim,supported,1.0805743839821011,1,AD-010,2,"R4 flagged strong_action (p_strong=0.853, p_contra=0.273)"
15,SBV2-ALL92-G256-C03,The paper says the benchmark indicates large speedup potential relative to online LLM inference and confirms stable throughput for production studies.,"For the ensemble Q-learners, each head is optimized with a loss (α=1.0) under the same online buffer.",strong_action_overclaim,strong_action_overclaim,1.0793928797943544,1,POL-015,9,"R4 flagged strong_action (p_strong=0.829, p_contra=0.250)"
