review_id,candidate_id,claim_text,retrieved_evidence,rank,risk_type,priority,reason,pdf_path,page_number,label_guess,retrieval_confidence
1,SBV2-ALL92-G002-SUPPORTED,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. T",1,retrieved_strong_action_flagged,1,"label=supported, ret_score=2, oracle_score=2, same_paper=True, is_oracle=True",AD-001,1,supported,1.0
2,SBV2-ALL92-G002-MILD,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance as the main comparison basis.,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. T",1,retrieved_strong_action_flagged,1,"label=mild_scope_overclaim, ret_score=2, oracle_score=2, same_paper=True, is_oracle=True",AD-001,1,mild_scope_overclaim,1.0
3,SBV2-ALL92-G002-STRONG,"nuPlan-R adds Success Rate and All-Core Pass Rate metrics to score planner robustness, balance, reliability, and collision behavior in one assessment.","expanding the benchmark to three complementary metrics in total. Success Rate. This metric measures a planner’s robustness in maintaining safe and feasible trajectories throughout a closed-loop rollout. It is computed as the proportion of scenarios where the CLS is non-zero, indicating that the ego ",1,retrieved_strong_action_flagged,1,"label=strong_action_overclaim, ret_score=2, oracle_score=2, same_paper=True, is_oracle=False",AD-001,4,strong_action_overclaim,1.0
17,SBV2-ALL92-G008-SUPPORTED,"HiDrive states that benchmark saturation reflects limited case diversity, object variety, and capability breadth rather than solved autonomy evaluation.","HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous",1,retrieved_strong_action_flagged,1,"label=supported, ret_score=3, oracle_score=3, same_paper=True, is_oracle=True",AD-003,1,supported,1.0
20,SBV2-ALL92-G008-CONTRA,"HiDrive states that benchmark saturation shows solved autonomy evaluation with broad case diversity, object variety, and capability coverage.","HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous",1,retrieved_strong_action_flagged,1,"label=contradiction_candidate, ret_score=3, oracle_score=3, same_paper=True, is_oracle=True",AD-003,1,contradiction_candidate,1.0
21,SBV2-ALL92-G011-SUPPORTED,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by image-level corruption evaluations alone.,"can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deploymen",1,retrieved_strong_action_flagged,1,"label=supported, ret_score=2, oracle_score=1, same_paper=True, is_oracle=True",AD-004,1,supported,1.0
22,SBV2-ALL92-G011-MILD,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal robustness challenges missed by standard corruption evaluations in benchmark results.,"can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deploymen",1,retrieved_strong_action_flagged,1,"label=mild_scope_overclaim, ret_score=2, oracle_score=1, same_paper=True, is_oracle=True",AD-004,1,mild_scope_overclaim,1.0
23,SBV2-ALL92-G011-STRONG,Bench2Drive-Robust reports that perturbations substantially degrade closed-loop performance and reveal a comprehensive failure taxonomy for closed-loop planners during evaluation.,"can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deploymen",1,retrieved_strong_action_flagged,1,"label=strong_action_overclaim, ret_score=2, oracle_score=1, same_paper=True, is_oracle=True",AD-004,1,strong_action_overclaim,1.0
24,SBV2-ALL92-G011-CONTRA,Bench2Drive-Robust reports that perturbations preserve closed-loop performance and match the robustness signals from image-level corruption evaluations in results.,"can accumulate through the feedback loop and destabilize control. In this work, we present Bench2Drive- Robust, to our knowledge the first device-centric robustness benchmark for closed- loop end-to-end autonomous driving under realistic deployment perturbations. We systematically evaluate deploymen",1,retrieved_strong_action_flagged,1,"label=contradiction_candidate, ret_score=2, oracle_score=1, same_paper=True, is_oracle=True",AD-004,1,contradiction_candidate,1.0
35,SBV2-ALL92-G018-C03,"BENCH2ADVLM reports that overall ADVLM performance remains relatively low, indicating current models remain unreliable for closed-loop evaluation benchmarks in this study.","4.2 Main Results Tab. 1 presents the main results on BENCH2ADVLM, from which we derive the following insights: ❶Comparison across ADVLMs. The overall performance of all ADVLMs remains relatively low, indicating that current models still face notable limitations. OmniDrive consistently achieves the h",1,retrieved_strong_action_flagged,1,"label=strong_action_overclaim, ret_score=2, oracle_score=2, same_paper=True, is_oracle=True",AD-006,7,strong_action_overclaim,1.0
