experiment_dir,status,role,used_in_mainline,key_metric,source_gate,notes
experiments\canonicalized_review_queue_v1,mainline,V3.17 baseline canonicalized R4 review queue,yes,strong_F1=0.4503,experiments\canonicalized_review_queue_v1\canonicalized_review_queue_gate.json,V3.17 baseline second-stage review queue; supports_v3_17_mainline; second_stage_viable=true
experiments\r4_evidence_canonicalization_v1,mainline,evidence canonicalization format ablation,yes,canonicalization_gain=+0.2697,experiments\r4_evidence_canonicalization_v1\evidence_canonicalization_gate.json,Proves raw BM25 degrades R4 and canonicalization restores strong_action screening; supports_v3_17_mainline=true; supports_pdf_corpus_screening_claim=true
experiments\canonicalized_risk_ranking_v1,mainline,risk ranking formula sweep,yes,best_variant=G_conservative_precision (P@20=0.45),experiments\canonicalized_risk_ranking_v1\risk_ranking_gate.json,Selects G_conservative_precision as best ranking variant; low_prevalence_second_stage_usable=true
experiments\v3_18_intelligent_upgrade_v1,negative_ablation,V3.18 learned selector + learned ranker negative ablation,no (negative ablation),best_overall_method=V3.17_baseline,experiments\v3_18_intelligent_upgrade_v1\v3_18_intelligent_upgrade_gate.json,supports_v3_18_intelligent_upgrade=false; selector_upgrade_passed=false; ranker_upgrade_passed=false; V3.18 is exploratory negative ablation
experiments\canonical_selector_robustness_v1,supporting,selector robustness diagnostic,yes (supporting),selectors_above_0.40=6/9,experiments\canonical_selector_robustness_v1\selector_robustness_gate.json,Confirms simple overlap-based canonicalization is robust across formats
experiments\simclaim_pdf_corpus_retrieval_v1,supporting,SimClaim PDF corpus BM25 retrieval,yes (supporting),n_candidates=444,experiments\simclaim_pdf_corpus_retrieval_v1\simclaim_pdf_retrieval_gate.json,PDF corpus retrieval pipeline; produces BM25 top-k chunks per candidate
experiments\r4_minimal_recovery_v1,supporting,R4 artifacts (classifiers/scalers/thresholds per seed),yes (R4 artifacts),n_seeds=10,experiments\r4_minimal_recovery_v1\r4_recovery_gate.json,R4 artifacts used by V3.17 baseline replay; per-seed thresholds frozen
experiments\mixed_framework_v2_frozen_r4_baseline,superseded,historical frozen R4 baseline (frozen reference thresholds),no (superseded),strong_F1=0.3967,experiments\mixed_framework_v2_frozen_r4_baseline\frozen_r4_readiness_gate.json,Historical frozen R4 baseline; current mainline uses restored R4 per-seed thresholds via canonicalized_review_queue_v1; V3.17 strong_F1=0.4503 supersedes
experiments\paper_ready_mixed_framework_v2,superseded,historical paper-ready pack,no (superseded),—,experiments\paper_ready_mixed_framework_v2\paper_ready_gate.json,Historical paper-ready pack; superseded by V3.17 baseline + V3.18 ablation results
experiments\mixed_framework_router_optimization_v2,historical,historical router optimization,no (historical),—,experiments\mixed_framework_router_optimization_v2\mixed_framework_router_readiness_gate.json,Historical; thresholds frozen; do not rerun
