task_or_dir,exists,file_count,key_files,last_modified,status,notes
overnight_non_api_compute_pipeline_v1,True,33,dataset_integrity_gate.json; dataset_integrity_report.md; duplicate_claim_evidence_report.csv; template_risk_gate.json; template_risk_report.md,2026-07-05 03:04:11,completed,8 sub-tasks A-H; all completed; master gate confirms 7/7 completed
v3_15_low_prevalence_screening_simulation,True,7,low_prevalence_screening_gate.json; low_prevalence_screening_report.md; low_prevalence_screening_summary.json; balanced_vs_low_prevalence_interpretation.md; low_prevalence_sample_manifest.csv,2026-07-05 02:32:52,completed,R4 screening simulation at 1%-25% prevalence; R4 recall stable ~0.36
v3_15_claim_realism_audit,True,6,claim_realism_audit_gate.json; claim_realism_audit_summary.json; claim_realism_audit_summary.md; claim_realism_audit_queue.csv; claim_realism_group_audit.csv,2026-07-05 02:37:54,completed,0% high-risk claims; 52.3% contradiction_mechanical; safe as diagnostic set
gold_pilot_relation_realism_protocol_v2,True,7,relation_realism_protocol_v2_gate.json; pilot_50_relation_realism_annotation_A.csv; pilot_50_relation_realism_annotation_B.csv; relation_realism_adjudication_protocol_v2.md; relation_realism_agreement_plan_v2.md,2026-07-05 02:44:47,completed,Two-layer gold protocol DRAFT; annotation NOT begun; ready_for_blind_annotation=true
v3_15_scalar_vs_relation_screening_deep_test,True,9,boundary_case_comparison_report.md; mild_vs_strong_scalar_boundary_report.md; scalar_score_overlap_report.md; scalar_vs_relation_deep_test_gate.json; strong_action_screening_comparison_report.md,2026-07-05 02:49:13,completed,Scalar cannot separate mild/strong (ROC-AUC ~0.51); cannot replace R4
rigourate_reproduction_and_simclaim_baseline_v1,True,22,case_level_comparison_report.md; claim_realism_audit_summary.md; rigourate_reproduction_feasibility_report.md; rigourate_reproduction_master_report.md; rigourate_reproduction_readiness_gate.json,2026-07-05 02:06:48,completed,Official RIGOURATE blocked; proxy scalar baseline built; 22 files
docs_rigourate_reproduction,True,1,rigourate_forcebench_claimbench_related_work_insert.md,2026-07-05 02:04:26,completed,Paste-ready RIGOURATE/ForceBench/CLAIM-BENCH related-work paragraphs
V3_13_rigourate_differentiated_realism_aware,True,6,CESE_OCN_V3_13_rigourate_differentiated_realism_aware.docx; CESE_OCN_V3_13_rigourate_differentiated_realism_aware.md; V3_13_advisor_cover_note_cn.md; V3_13_claims_allowed_for_paper.md; V3_13_positioning_change_log.md,2026-07-05 02:17:04,completed,RIGOURATE-differentiated + realism-aware paper version
V3_14_mainline_locked_consistency_audit,True,8,V3_14_mainline_gate.json; CESE_OCN_V3_14_mainline_locked.docx; CESE_OCN_V3_14_mainline_locked.md; claim_validity_matrix.csv; dataset_construction_risk_audit.md,2026-07-05 02:24:41,completed,Mainline locked + reviewer-grade consistency audit; source for V3.15
V3_15_hierarchical_taxonomy_revision,True,8,hierarchical_taxonomy_revision_gate.json; V3_15_hierarchical_taxonomy_gate.json; CESE_OCN_V3_15_hierarchical_taxonomy_revision.docx; CESE_OCN_V3_15_hierarchical_taxonomy_revision.md; flat_four_class_attack_response.md,2026-07-05 03:13:30,completed,Hierarchical taxonomy revision; 18 replacements; 8 files; all quality checks pass
v3_16_integration_summary_and_revision_plan,True,6,mainline_impact_summary.md; v3_16_integration_gate.json; evidence_strength_table.csv; five_task_status_matrix.csv; next_route_decision.md,2026-07-05 02:56:18,completed,Five-task integration summary + V3.16 revision plan; mainline_survives=true
mixed_framework_v2_frozen_r4_baseline,True,6,frozen_r4_ablation_summary.json; frozen_r4_metrics_summary.json; frozen_r4_readiness_gate.json; frozen_r4_manifest.json; frozen_r4_method_selection.csv,2026-07-03 12:23:42,completed,Frozen R4 baseline; strong_F1=0.3967; macro_F1=0.4238 (silver 444)
llm_judge_baseline_v1,True,17,llm_cost_report_100.md; llm_cost_report_200.md; llm_run_gate_100.json; llm_run_gate_200.json; llm_error_cases_100.csv,2026-07-04 02:16:03,completed,DeepSeek LLM baseline; 200 samples; macro_F1=0.5523 (matched 100)
gpt_structured_judge_probe_v1,True,13,gpt_cost_report.md; gpt_structured_probe_gate.json; missing_api_key_report.md; gpt_probe_input_100.csv; gpt_standard_metrics_100.json,2026-07-04 10:04:21,completed,GPT standard vs structured probe; 100 matched samples
v3_11_three_core_credibility_experiments,True,14,evidence_necessity_report.md; evidence_necessity_summary.json; label_shift_stress_report.md; label_shift_stress_summary.json; screening_utility_report.md,2026-07-04 20:19:14,completed,"Three core credibility experiments (label-shift, screening utility, evidence necessity)"
gold_pilot_protocol_freeze_v1,True,10,gold_pilot_protocol_freeze_report.md; adjudication_protocol_v1.md; agreement_metric_plan_v1.md; annotation_decision_tree_v1.md; annotation_guideline_v1_frozen.md,2026-07-04 17:23:51,completed,Frozen gold pilot protocol v1; 50 samples; annotation NOT begun
_PROJECT_INDEX,True,10,project_cleanup_report.md; script_cleanup_report.md; archived_file_manifest.csv; current_paper_paths.md; mainline_file_manifest.csv,2026-07-04 17:16:59,completed,Project index (registry from V3.7 era; outdated)
