candidate_id,target_candidate_group_id,rank,unit_id,paper_id,pdf_filename,page_number,section_hint,retrieved_text,bm25_score,query_n_tokens,retrieved_n_words,oracle_overlap_score,oracle_hash_exact,oracle_page_match,oracle_hit
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,1,AD-001::p1::b4::s37::w3,AD-001,AD-001__2511.10403.pdf,1,unknown,"More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner's robustness and overall performance balance across multiple dimensions. Extensive experiments demonstrate that our reactive agents exhibit superior realism and behavioral diversity compared to IDM-based agents. Furthermore, we reimplement a collection of rule-based, learning-based, and hybrid planning approaches within the nuPlan-R benchmark, revealing that nuPlan-R more effec- tively highlights the interactive advantages of learning-based planners in complex scenarios.",62.761012,17,79,0.533333,False,True,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,2,AD-001::p1::b4::s36::w3,AD-001,AD-001__2511.10403.pdf,1,unknown,"To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner's robustness and overall performance balance across multiple dimensions. Extensive experiments demonstrate that our reactive agents exhibit superior realism and behavioral diversity compared to IDM-based agents.",57.859661,17,69,0.57971,False,True,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,3,AD-001::p1::b4::s35::w3,AD-001,AD-001__2511.10403.pdf,1,unknown,"Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with two complementary metrics, Success Rate (SR) and All-Core Pass Rate (PR), to assess a planner's robustness and overall performance balance across multiple dimensions.",52.973986,17,82,0.512821,False,True,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,4,AD-001::p2::b6::s44::w3,AD-001,AD-001__2511.10403.pdf,2,unknown,"selection mechanism into the nuPlan simulation frame- work as configurable components, enabling more real- istic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan-R benchmarks, demonstrating that nuPlan-R provides a more reliable assessment of planners' interaction capabilities in complex traffic en- vironments. Planning Benchmark for Autonomous Vehicles Table I shows a comparison between our benchmark and other autonomous driving benchmarks. Early benchmarks for autonomous vehicle motion planning, such as Waymo [1] and nuScenes [2], primarily focus on short-term motion forecasting under open-loop evaluation, where displacement- based metrics are used to assess prediction accuracy.",46.184697,17,141,0.264151,False,False,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,5,AD-001::p1::b5::s42::w3,AD-001,AD-001__2511.10403.pdf,1,unknown,"benchmark for closed-loop planning evaluation. In summary, the main contributions of this paper include: • We propose nuPlan-R, a new reactive closed-loop plan- ning benchmark that seamlessly integrates learning- based reactive agents and an interaction-aware agent arXiv:2511.10403v1 [cs.RO] 13 Nov 2025 selection mechanism into the nuPlan simulation frame- work as configurable components, enabling more real- istic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan-R benchmarks, demonstrating that nuPlan-R provides a more reliable assessment of planners' interaction capabilities in complex traffic en- vironments.",45.109934,17,131,0.25,False,True,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,6,AD-001::p2::b6::s43::w3,AD-001,AD-001__2511.10403.pdf,2,unknown,"In summary, the main contributions of this paper include: • We propose nuPlan-R, a new reactive closed-loop plan- ning benchmark that seamlessly integrates learning- based reactive agents and an interaction-aware agent arXiv:2511.10403v1 [cs.RO] 13 Nov 2025 selection mechanism into the nuPlan simulation frame- work as configurable components, enabling more real- istic and human-like multi-agent interactions. • We extend the benchmark with two additional metrics, Success Rate and All-Core Pass Rate, to more effec- tively evaluate the robustness of planners and balance across various dimensions of driving performance. • We reimplement and comprehensively evaluate a diverse set of planning approaches in both the original nuPlan and the proposed nuPlan-R benchmarks, demonstrating that nuPlan-R provides a more reliable assessment of planners' interaction capabilities in complex traffic en- vironments. Planning Benchmark for Autonomous Vehicles Table I shows a comparison between our benchmark and other autonomous driving benchmarks.",41.0952,17,144,0.236364,False,False,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,7,AD-001::p3::b11::s75::w3,AD-001,AD-001__2511.10403.pdf,3,unknown,Evaluation Metrics Reactive Closed-Loop Simulation Dataset Test14-Hard Test14-Random Val14 Observations Historical Info Map Info Traffic State Vehicle Attribute Planner (To be evaluated) Reactive Agent Model Kinematic Controller Interaction-Aware Selection Update the Observations Closed-Loop Score Success Rate Collision TTC Comfort ... Incorrect Direction Low Progress Score Collision TTC ... 0.5 All-Core Pass Rate ... Comfort Speed Limit Off Road Fig. 1.,35.942904,17,60,0.176471,False,False,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,8,AD-001::p4::b19::s135::w3,AD-001,AD-001__2511.10403.pdf,4,unknown,"To further evaluate whether a planner performs consistently across all aspects rather than excelling in only a few, we introduce the All-Core Pass Rate. It measures the proportion of scenarios where all core sub- metrics (such as safety, comfort, and efficiency) achieve normalized scores above 0.5. This indicator highlights the planner's overall balance and compliance in diverse driving scenarios.",35.843567,17,59,0.262295,False,False,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,9,AD-001::p7::b31::s214::w3,AD-001,AD-001__2511.10403.pdf,7,unknown,"Beyond CLS, the additional SR and PR metrics provide complementary insights into planner robustness and overall balance. The performance gap becomes even more pronounced on the Test14-Hard dataset, demonstrating that nuPlan-R provides a fairer and more effective evaluation of planners' decision-making and interaction capabilities in complex traffic scenarios. Beyond CLS, the additional SR and PR metrics provide complementary insights into planner robustness and overall balance.",35.390532,17,65,0.321429,False,False,False
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,10,AD-001::p3::b11::s74::w3,AD-001,AD-001__2511.10403.pdf,3,unknown,Task Description This work aims to develop a reactive multi-agent sim- ulation framework for the realistic and reliable evaluation of autonomous planners. Evaluation Metrics Reactive Closed-Loop Simulation Dataset Test14-Hard Test14-Random Val14 Observations Historical Info Map Info Traffic State Vehicle Attribute Planner (To be evaluated) Reactive Agent Model Kinematic Controller Interaction-Aware Selection Update the Observations Closed-Loop Score Success Rate Collision TTC Comfort ... Incorrect Direction Low Progress Score Collision TTC ... 0.5 All-Core Pass Rate ...,34.931108,17,75,0.16,False,False,False
