candidate_id,entailment_correct,neutral_correct,contradiction_correct,ent_minus_con_correct,con_minus_ent_correct,max_prob_correct,entropy_correct
SBV2-ALL92-G002-SUPPORTED,0.016644709,0.9704381,0.012917136,0.003727573,-0.003727573,0.9704381,0.1534709
SBV2-ALL92-G002-MILD,0.011234706,0.95542145,0.033343866,-0.02210916,0.02210916,0.95542145,0.20739813
SBV2-ALL92-G002-STRONG,0.034011506,0.9134226,0.05256589,-0.018554386,0.018554386,0.9134226,0.35255402
SBV2-ALL92-G002-CONTRA,0.021843676,0.9429482,0.03520799,-0.013364315,0.013364315,0.9429482,0.25674218
SBV2-ALL92-G003-SUPPORTED,0.41952395,0.4193386,0.16113748,0.2583865,-0.2583865,0.41952395,1.0230064
SBV2-ALL92-G003-MILD,0.19857083,0.7152384,0.08619068,0.112380154,-0.112380154,0.7152384,0.771986
SBV2-ALL92-G003-STRONG,0.11974519,0.805982,0.074272886,0.0454723,-0.0454723,0.805982,0.6211015
SBV2-ALL92-G003-CONTRA,0.0032983825,0.022912895,0.9737888,-0.9704904,0.9704904,0.9737888,0.13123304
SBV2-ALL92-G004-SUPPORTED,0.93467486,0.039785817,0.025539286,0.9091356,-0.9091356,0.93467486,0.2850889
SBV2-ALL92-G004-MILD,0.0006017545,0.99552864,0.0038695245,-0.00326777,0.00326777,0.99552864,0.03041751
SBV2-ALL92-G004-STRONG,0.09417837,0.61983496,0.28598663,-0.19180825,0.19180825,0.61983496,0.87697184
SBV2-ALL92-G004-CONTRA,0.01819016,0.021475349,0.9603345,-0.94214433,0.94214433,0.9603345,0.19423752
SBV2-ALL92-G007-SUPPORTED,0.0012290993,0.9861828,0.012588041,-0.011358942,0.011358942,0.9861828,0.07703085
SBV2-ALL92-G007-MILD,0.0014543808,0.9853371,0.013208486,-0.011754105,0.011754105,0.9853371,0.08120836
SBV2-ALL92-G007-STRONG,0.0065218164,0.9818715,0.011606681,-0.005084865,0.005084865,0.9818715,0.102506295
SBV2-ALL92-G007-CONTRA,0.0024860227,0.030031152,0.9674828,-0.96499676,0.96499676,0.9674828,0.15216635
SBV2-ALL92-G008-SUPPORTED,0.0043943394,0.7814238,0.21418189,-0.20978755,0.20978755,0.7814238,0.54661775
SBV2-ALL92-G008-MILD,0.0058175432,0.9457491,0.048433453,-0.04261591,0.04261591,0.9457491,0.22932954
SBV2-ALL92-G008-STRONG,0.0013052404,0.87247044,0.12622428,-0.12491904,0.12491904,0.87247044,0.38894245
SBV2-ALL92-G008-CONTRA,0.018237397,0.963082,0.018680533,-0.00044313632,0.00044313632,0.963082,0.18360928
SBV2-ALL92-G011-SUPPORTED,0.0104095675,0.84207094,0.14751942,-0.13710986,0.13710986,0.84207094,0.47458646
SBV2-ALL92-G011-MILD,0.009193043,0.93770736,0.05309954,-0.043906495,0.043906495,0.93770736,0.2592982
SBV2-ALL92-G011-STRONG,0.021453124,0.9397151,0.03883178,-0.017378658,0.017378658,0.9397151,0.26699623
