candidate_id,selector,selected_evidence_sha256,n_words,selector_score,selected_rank,source_type,selection_reason
SBV2-ALL92-G002-SUPPORTED,raw_top1_chunk,aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,68,54.3509,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G002-MILD,raw_top1_chunk,aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,68,47.3645,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G002-STRONG,raw_top1_chunk,695495113386c90f928fd1e5d3905118ed02100851b366450561e744531cc792,72,44.8087,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G002-CONTRA,raw_top1_chunk,aec776c36e9eb7b5ffdcbb15b2ac411dee609485f88bbee1f774b6b68c5c651b,68,35.8408,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G003-SUPPORTED,raw_top1_chunk,142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d,69,54.4142,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G003-MILD,raw_top1_chunk,142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d,69,52.809,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G003-STRONG,raw_top1_chunk,142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d,69,54.3138,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G003-CONTRA,raw_top1_chunk,142b979cbb191b21bf531b0ef90c50b3acb95e2354af43c789b543a8b6c3518d,69,44.1456,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G004-SUPPORTED,raw_top1_chunk,2072191c0cb97ed685c6f59591d8d31937b323568789b5f661e746d2df7cf649,85,91.0366,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G004-MILD,raw_top1_chunk,ce020da8a8cc124dffa8f59f5d8f9aaf267f0a3023b0a8ee2898c8071f5b1098,83,89.6781,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G004-STRONG,raw_top1_chunk,2072191c0cb97ed685c6f59591d8d31937b323568789b5f661e746d2df7cf649,85,79.0118,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G004-CONTRA,raw_top1_chunk,2072191c0cb97ed685c6f59591d8d31937b323568789b5f661e746d2df7cf649,85,36.0196,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G007-SUPPORTED,raw_top1_chunk,089daafd05b3c88bf05b497bda6ad0666cdb2dbf5917e231aff8ff8b2580e000,76,56.2021,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G007-MILD,raw_top1_chunk,089daafd05b3c88bf05b497bda6ad0666cdb2dbf5917e231aff8ff8b2580e000,76,52.0011,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G007-STRONG,raw_top1_chunk,089daafd05b3c88bf05b497bda6ad0666cdb2dbf5917e231aff8ff8b2580e000,76,62.4916,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G007-CONTRA,raw_top1_chunk,089daafd05b3c88bf05b497bda6ad0666cdb2dbf5917e231aff8ff8b2580e000,76,47.4363,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G008-SUPPORTED,raw_top1_chunk,473021a2b4fc4ee8778122c760d2f071dc4c5fd1c665a2d583e165d499f6978b,56,39.5329,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G008-MILD,raw_top1_chunk,473021a2b4fc4ee8778122c760d2f071dc4c5fd1c665a2d583e165d499f6978b,56,40.5762,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G008-STRONG,raw_top1_chunk,473021a2b4fc4ee8778122c760d2f071dc4c5fd1c665a2d583e165d499f6978b,56,34.5559,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G008-CONTRA,raw_top1_chunk,473021a2b4fc4ee8778122c760d2f071dc4c5fd1c665a2d583e165d499f6978b,56,31.5241,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G011-SUPPORTED,raw_top1_chunk,9caa4db812b8d5da9cb3bf0f2f84ebb118bc3dcb15c97875cc7a1ecf12d6ed10,63,59.1648,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G011-MILD,raw_top1_chunk,9caa4db812b8d5da9cb3bf0f2f84ebb118bc3dcb15c97875cc7a1ecf12d6ed10,63,58.0543,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G011-STRONG,raw_top1_chunk,9caa4db812b8d5da9cb3bf0f2f84ebb118bc3dcb15c97875cc7a1ecf12d6ed10,63,39.6678,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G011-CONTRA,raw_top1_chunk,9caa4db812b8d5da9cb3bf0f2f84ebb118bc3dcb15c97875cc7a1ecf12d6ed10,63,49.4661,1,raw_chunk,raw chunk text from rank=1 retrieval
SBV2-ALL92-G013-C01,raw_top1_chunk,5ab0c33347a036bb5d621bf72141451e5853c6d84a450750c52355bd698f1a91,63,40.4376,1,raw_chunk,raw chunk text from rank=1 retrieval
