candidate_id,selector,selected_text,selected_chunk_id,selected_rank,n_words,selection_score,reason
SBV2-ALL92-G002-CONTRA,bm25_top1_raw,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",AD-001_p1_c4,1,68,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G002-MILD,bm25_top1_raw,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",AD-001_p1_c4,1,68,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G002-STRONG,bm25_top1_raw,"expanding the benchmark to three complementary metrics in total. Success Rate. This metric measures a planner’s robustness in maintaining safe and feasible trajectories throughout a closed-loop rollout. It is computed as the proportion of scenarios where the CLS is non-zero, indicating that the ego vehicle avoids major failures such as severe collisions, off-road departures, wrong-way driving, or extremely low progress. A higher SR reflects a planner’s reliability in maintaining feasible and saf",AD-001_p4_c2,1,72,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G002-SUPPORTED,bm25_top1_raw,"realistic and fair evaluation of autonomous driving planners. Our learning-based reactive agents are seamlessly integrated into the nuPlan simulation framework as config- urable components, replacing rule-based IDM agents with diffusion-based reactive models following the Nexus archi- tecture [6]. To further improve simulation efficiency, we introduce an interaction-aware agent selection mechanism that focuses on agents most relevant to the ego vehicle. More- over, we extend the benchmark with t",AD-001_p1_c4,1,68,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G003-CONTRA,bm25_top1_raw,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles. However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",AD-001_p1_c0,1,69,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G003-MILD,bm25_top1_raw,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles. However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",AD-001_p1_c0,1,69,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G003-STRONG,bm25_top1_raw,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles. However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",AD-001_p1_c0,1,69,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G003-SUPPORTED,bm25_top1_raw,"nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation Mingxing Peng, Ruoyu Yao, Xusen Guo, and Jun Ma, Senior Member, IEEE Abstract— Recent advances in closed-loop planning bench- marks have significantly improved the evaluation of au- tonomous vehicles. However, existing benchmarks still rely on rule-based reactive agents such as the Intelligent Driver Model (IDM), which lack behavioral diversity and fail to capture realistic human interactions, l",AD-001_p1_c0,1,69,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G004-CONTRA,bm25_top1_raw,"node restart. V. EXPERIMENTS A. Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware. The modular planner uses ONNX Runtime 1.23 with the CPU execution provider; the original monolithic planner [28] uses TensorRT with the 68 MB engine file on GPU. Both planners are benchmarked on the same machine; the CPU-based com- parison i",AD-002_p5_c1,1,85,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G004-MILD,bm25_top1_raw,"reducing the inference cost from Tmono in Eq. 4 to: Tmod = Tenc + (N+1) · Tdit + N · Tsol. (5) The saving of N ·Tenc is substantial because Tenc ≫Tdit (§V- C). The model operates in a normalized coordinate frame; output trajectories are denormalized to world coordinates before being published as ROS 2 trajectory messages, ready for direct consumption by downstream planning validation and vehicle control modules within the Autoware stack. C. ROS 2 Integration with Autoware The modular planner is ",AD-002_p5_c0,1,83,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G004-STRONG,bm25_top1_raw,"node restart. V. EXPERIMENTS A. Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware. The modular planner uses ONNX Runtime 1.23 with the CPU execution provider; the original monolithic planner [28] uses TensorRT with the 68 MB engine file on GPU. Both planners are benchmarked on the same machine; the CPU-based com- parison i",AD-002_p5_c1,1,85,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G004-SUPPORTED,bm25_top1_raw,"node restart. V. EXPERIMENTS A. Experimental Setup All experiments are conducted on a desktop PC with an Intel Core i9-12900KS CPU, 32 GB RAM, and an NVIDIA GeForce RTX 3090 Ti GPU, running in a Docker container with Ubuntu 22.04, ROS 2 Humble, and Autoware. The modular planner uses ONNX Runtime 1.23 with the CPU execution provider; the original monolithic planner [28] uses TensorRT with the 68 MB engine file on GPU. Both planners are benchmarked on the same machine; the CPU-based com- parison i",AD-002_p5_c1,1,85,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G007-CONTRA,bm25_top1_raw,"a learned value model. All methods are trained on the Bench2Drive training data. For closed-loop evaluation, all methods are run on the 330 test routes described in Section 3, and metrics are computed accordingly. 4.2 Results Table 4 summarizes the overall performance of the completed runs on HiDrive, together with split-level results on the Basic, Hard, and Thorny ability sets. The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the ",AD-003_p8_c3,1,76,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G007-MILD,bm25_top1_raw,"a learned value model. All methods are trained on the Bench2Drive training data. For closed-loop evaluation, all methods are run on the 330 test routes described in Section 3, and metrics are computed accordingly. 4.2 Results Table 4 summarizes the overall performance of the completed runs on HiDrive, together with split-level results on the Basic, Hard, and Thorny ability sets. The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the ",AD-003_p8_c3,1,76,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G007-STRONG,bm25_top1_raw,"a learned value model. All methods are trained on the Bench2Drive training data. For closed-loop evaluation, all methods are run on the 330 test routes described in Section 3, and metrics are computed accordingly. 4.2 Results Table 4 summarizes the overall performance of the completed runs on HiDrive, together with split-level results on the Basic, Hard, and Thorny ability sets. The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the ",AD-003_p8_c3,1,76,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G007-SUPPORTED,bm25_top1_raw,"a learned value model. All methods are trained on the Bench2Drive training data. For closed-loop evaluation, all methods are run on the 330 test routes described in Section 3, and metrics are computed accordingly. 4.2 Results Table 4 summarizes the overall performance of the completed runs on HiDrive, together with split-level results on the Basic, Hard, and Thorny ability sets. The results show that conventional end-to-end autonomous driving methods remain strongly limited on HiDrive: even the ",AD-003_p8_c3,1,76,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G008-CONTRA,bm25_top1_raw,"HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing bench- marks are increasingly saturated, with state-of-the-art models achieving near- perfect scores on widely used open-loop and closed-loop benchm",AD-003_p1_c0,1,56,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G008-MILD,bm25_top1_raw,"HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing bench- marks are increasingly saturated, with state-of-the-art models achieving near- perfect scores on widely used open-loop and closed-loop benchm",AD-003_p1_c0,1,56,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G008-STRONG,bm25_top1_raw,"HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing bench- marks are increasingly saturated, with state-of-the-art models achieving near- perfect scores on widely used open-loop and closed-loop benchm",AD-003_p1_c0,1,56,0.0,raw_top1_chunk_no_selection
SBV2-ALL92-G008-SUPPORTED,bm25_top1_raw,"HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving Zhongyu Xia∗ Guanyu Zhu∗ Guo Tang Wenhao Chen Yongtao WangB Wangxuan Institute of Computer Technology, Peking University {xiazhongyu,confection_tang,wyt}@pku.edu.cn {guanyuzhu,wenhaochen}@stu.pku.edu.cn Abstract End-to-end autonomous driving has witnessed rapid progress, yet existing bench- marks are increasingly saturated, with state-of-the-art models achieving near- perfect scores on widely used open-loop and closed-loop benchm",AD-003_p1_c0,1,56,0.0,raw_top1_chunk_no_selection
