candidate_id,true_label,source_pair_id,oracle_found_in_pdf,top1_oracle_hit,top3_oracle_hit,top5_oracle_hit,top1_same_paper,retrieval_error_type,retrieval_reason,r4_error_type,r4_reason,strong_action_false_negative,strong_action_false_positive,contradiction_confusion,supported_mild_confusion
SBV2-ALL92-G002-SUPPORTED,supported,AD-001,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G002-MILD,mild_scope_overclaim,AD-001,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G002-STRONG,strong_action_overclaim,AD-001,True,False,False,True,True,retrieval_partial_hit,Oracle in top-5 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G002-CONTRA,contradiction_candidate,AD-001,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G003-SUPPORTED,supported,AD-001,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G003-MILD,mild_scope_overclaim,AD-001,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G003-STRONG,strong_action_overclaim,AD-001,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G003-CONTRA,contradiction_candidate,AD-001,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G004-SUPPORTED,supported,AD-002,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G004-MILD,mild_scope_overclaim,AD-002,True,True,True,True,True,retrieval_success,Oracle chunk retrieved at rank 1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G004-STRONG,strong_action_overclaim,AD-002,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
SBV2-ALL92-G004-CONTRA,contradiction_candidate,AD-002,True,False,True,True,True,retrieval_partial_hit,Oracle in top-3 but not top-1,r4_blocked,R4 replay blocked — cannot classify relation_screening_failure / strong_action_fn / strong_action_fp / contradiction_confusion / supported_mild_confusion,BLOCKED,BLOCKED,BLOCKED,BLOCKED
