candidate_id,target_candidate_group_id,source_id,domain,evidence_type,label,claim_text,claim_only_pred,evidence_only_pred,claim_evidence_pred,claim_only_correct,evidence_only_correct,claim_evidence_correct,leakage_category
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,AD-001,autonomous_driving,metric_result,supported,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance over multiple evaluation dimensions.,contradiction_candidate,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G002-MILD,SBV2-ALL92-G002,AD-001,autonomous_driving,metric_result,mild_scope_overclaim,nuPlan-R adds Success Rate and All-Core Pass Rate metrics to assess planner robustness and performance balance as the main comparison basis.,contradiction_candidate,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G002-STRONG,SBV2-ALL92-G002,AD-001,autonomous_driving,metric_result,strong_action_overclaim,"nuPlan-R adds Success Rate and All-Core Pass Rate metrics to score planner robustness, balance, reliability, and collision behavior in one assessment.",contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G002-CONTRA,SBV2-ALL92-G002,AD-001,autonomous_driving,metric_result,contradiction_candidate,nuPlan-R adds Lane Distance and Map Coverage Rate metrics to assess planner routing geometry and map exploration balance over multiple dimensions.,mild_scope_overclaim,contradiction_candidate,mild_scope_overclaim,False,True,False,C_both_wrong
SBV2-ALL92-G003-SUPPORTED,SBV2-ALL92-G003,AD-001,autonomous_driving,limitation,supported,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the nuPlan evaluation framework.,strong_action_overclaim,contradiction_candidate,strong_action_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G003-MILD,SBV2-ALL92-G003,AD-001,autonomous_driving,limitation,mild_scope_overclaim,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into the broader nuPlan evaluation suite.,mild_scope_overclaim,contradiction_candidate,mild_scope_overclaim,True,False,True,A_claim_only_correct
SBV2-ALL92-G003-STRONG,SBV2-ALL92-G003,AD-001,autonomous_driving,limitation,strong_action_overclaim,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.,strong_action_overclaim,contradiction_candidate,strong_action_overclaim,True,False,True,A_claim_only_correct
SBV2-ALL92-G003-CONTRA,SBV2-ALL92-G003,AD-001,autonomous_driving,limitation,contradiction_candidate,nuPlan-R presents an open-loop planning benchmark that integrates scripted single-agent simulation into the nuPlan evaluation framework for planner assessment.,contradiction_candidate,contradiction_candidate,contradiction_candidate,True,True,True,A_claim_only_correct
SBV2-ALL92-G004-SUPPORTED,SBV2-ALL92-G004,AD-002,autonomous_driving,experiment_setup,supported,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and Ubuntu 22.04 software.",mild_scope_overclaim,contradiction_candidate,supported,False,False,True,B_evidence_gain
SBV2-ALL92-G004-MILD,SBV2-ALL92-G004,AD-002,autonomous_driving,experiment_setup,mild_scope_overclaim,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and a broader ROS stack.",mild_scope_overclaim,contradiction_candidate,mild_scope_overclaim,True,False,True,A_claim_only_correct
SBV2-ALL92-G004-STRONG,SBV2-ALL92-G004,AD-002,autonomous_driving,experiment_setup,strong_action_overclaim,"The benchmark experiments run on an Intel Core i9-12900KS CPU, 32 GB RAM, an NVIDIA RTX 3090 Ti GPU, and a multi-GPU compute cluster.",contradiction_candidate,contradiction_candidate,mild_scope_overclaim,False,False,False,C_both_wrong
SBV2-ALL92-G004-CONTRA,SBV2-ALL92-G004,AD-002,autonomous_driving,experiment_setup,contradiction_candidate,"The benchmark experiments run on an AMD Ryzen workstation, 16 GB RAM, an NVIDIA RTX 2080 GPU, and Windows-based simulation software.",contradiction_candidate,contradiction_candidate,contradiction_candidate,True,True,True,A_claim_only_correct
SBV2-ALL92-G005-SUPPORTED,SBV2-ALL92-G005,AD-002,autonomous_driving,metric_result,supported,The solver comparison shows second-order solving at N=3 matches first-order accuracy at N=5 while reducing required denoising steps.,contradiction_candidate,contradiction_candidate,supported,False,False,True,B_evidence_gain
SBV2-ALL92-G005-MILD,SBV2-ALL92-G005,AD-002,autonomous_driving,metric_result,mild_scope_overclaim,The solver comparison shows second-order solving at N=3 matches first-order accuracy at N=5 for the reported latency and waypoint analysis.,contradiction_candidate,contradiction_candidate,supported,False,False,False,C_both_wrong
SBV2-ALL92-G005-STRONG,SBV2-ALL92-G005,AD-002,autonomous_driving,metric_result,strong_action_overclaim,The solver comparison shows second-order solving at N=3 matches first-order accuracy at N=5 and cuts overall planner runtime in half.,contradiction_candidate,contradiction_candidate,contradiction_candidate,False,False,False,C_both_wrong
SBV2-ALL92-G005-CONTRA,SBV2-ALL92-G005,AD-002,autonomous_driving,metric_result,contradiction_candidate,The solver comparison shows first-order solving at N=3 matches second-order accuracy at N=5 while reducing required denoising steps.,contradiction_candidate,contradiction_candidate,supported,True,True,False,D_claim_only_better
SBV2-ALL92-G007-SUPPORTED,SBV2-ALL92-G007,AD-003,autonomous_driving,metric_result,supported,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as the best result.",supported,contradiction_candidate,supported,True,False,True,A_claim_only_correct
SBV2-ALL92-G007-MILD,SBV2-ALL92-G007,AD-003,autonomous_driving,metric_result,mild_scope_overclaim,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS as a representative top result.",supported,contradiction_candidate,supported,False,False,False,C_both_wrong
SBV2-ALL92-G007-STRONG,SBV2-ALL92-G007,AD-003,autonomous_driving,metric_result,strong_action_overclaim,"HiDrive reports that conventional end-to-end methods remain strongly limited, with DiffusionDrive reaching 34.2 Overall DS and showing mature closed-loop performance.",supported,contradiction_candidate,supported,False,False,False,C_both_wrong
